course_id,short_name,long_name,account_id,term_id,status,start_date,end_date,blueprint_course_id
UE_203_ADA523_1_2026_VÅR_1,ADA523-1 26V,ADA523-1 26V Utvalgte emner i anvendt datateknologi og ingeniørvitenskap,ST_0203201000,2026_VÅR,active,,,
UE_203_ADA524_1_2024_HØST_1,ADA524-1 24H,ADA524-1 24H Utvalgte emner i anvendt datateknologi og ingeniørvitenskap,ST_0203201000,2024_HØST,active,,,
UE_203_ADA524_1_2025_HØST_1,ADA524-1 25H,ADA524-1 25H Utvalgte emner i anvendt datateknologi og ingeniørvitenskap,ST_0203201000,2025_HØST,active,,,
UE_203_ADA524_1_2025_VÅR_1,ADA524-1 25V,ADA524-1 25V Utvalgte emner i anvendt datateknologi og ingeniørvitenskap,ST_0203201000,2025_VÅR,active,,,
UE_203_ADA524_1_2026_VÅR_1,ADA524-1 26V,ADA524-1 26V Utvalgte emner i anvendt datateknologi og ingeniørvitenskap,ST_0203201000,2026_VÅR,active,,,
UE_203_ADA525_1_2024_HØST_1,ADA525-1 24H,ADA525-1 24H Rapid prototyping med bruk av digitale verktøy,ST_0203201000,2024_HØST,active,,,
UE_203_ADA525_1_2025_HØST_1,ADA525-1 25H,ADA525-1 25H Rapid prototyping med bruk av digitale verktøy,ST_0203201000,2025_HØST,active,,,
UE_203_ADA526_1_2024_HØST_1,ADA526-1 24H,ADA526-1 24H Anvendt robot prototyping,ST_0203201000,2024_HØST,active,,,
UE_203_ADA526_1_2025_HØST_1,ADA526-1 25H,ADA526-1 25H Anvendt robot prototyping,ST_0203201000,2025_HØST,active,,,
UE_203_ADA527_1_2025_VÅR_1,ADA527-1 25V,ADA527-1 25V Avansert robotstyring,ST_0203201000,2025_VÅR,active,,,
UE_203_ADA527_1_2026_VÅR_1,ADA527-1 26V,ADA527-1 26V Avansert robotstyring,ST_0203201000,2026_VÅR,active,,,
UE_203_ADA528_1_2025_VÅR_1,ADA528-1 25V,ADA528-1 25V Sensornettverk,ST_0203201000,2025_VÅR,active,,,
UE_203_ADA528_1_2026_VÅR_1,ADA528-1 26V,ADA528-1 26V Sensornettverk,ST_0203201000,2026_VÅR,active,,,
UE_203_ADA529_1_2025_VÅR_1,ADA529-1 25V,ADA529-1 25V Beregningsvitenskap,ST_0203201000,2025_VÅR,active,,,
UE_203_ADA529_1_2026_VÅR_1,ADA529-1 26V,ADA529-1 26V Beregningsvitenskap,ST_0203201000,2026_VÅR,active,,,
UE_203_ADA595_1_2025_VÅR_1,ADA595-1 25V,ADA595-1 25V Masteroppgave,ST_0203201000,2025_VÅR,active,,,
UE_203_ADA595_1_2026_VÅR_1,ADA595-1 26V,ADA595-1 26V Masteroppgave,ST_0203201000,2026_VÅR,active,,,
UE_203_ADA599_1_2024_HØST_1,ADA599-1 24H,ADA599-1 24H Masteroppgave,ST_0203201000,2024_HØST-2025_VÅR,active,,,
UE_203_ADA599_1_2025_HØST_1,ADA599-1 25H,ADA599-1 25H Masteroppgave,ST_0203201000,2025_HØST-2026_VÅR,active,,,
UE_203_ANEP513_1_2025_VÅR_1,ANEP513-1 25V,"ANEP513-1 25V Utøvende anestesisykepleie; Pasientsikkerhet teknologi, digital kompetanse",ST_0203100100,2025_VÅR,active,,,
UE_203_ANEP513_1_2026_VÅR_1,ANEP513-1 26V,"ANEP513-1 26V Utøvende anestesisykepleie; Pasientsikkerhet teknologi, digital kompetanse",ST_0203100100,2026_VÅR,active,,,
UE_203_ANEP514_1_2024_HØST_1,ANEP514-1 24H,ANEP514-1 24H Utøvende anestesisjukepleie. Samhandling og kommunikasjon ,ST_0203100100,2024_HØST,active,,,
UE_203_ANEP514_1_2025_HØST_1,ANEP514-1 25H,ANEP514-1 25H Utøvende anestesisjukepleie. Samhandling og kommunikasjon ,ST_0203100100,2025_HØST,active,,,
UE_203_ANEP515_1_2024_HØST_1,ANEP515-1 24H,"ANEP515-1 24H Utøvende anestesisykepleie. Kvalitet, fagledelse og organisering ",ST_0203100100,2024_HØST,active,,,
UE_203_ANEP515_1_2025_HØST_1,ANEP515-1 25H,"ANEP515-1 25H Utøvende anestesisykepleie. Kvalitet, fagledelse og organisering ",ST_0203100100,2025_HØST,active,,,
